QP;LIB_QP;LIST_COMARR_2020;Pop_2013
QP013057;Les Tilleuls La Maurelette;13215;2262
QP013058;La Cabucelle;1320213215;14231
QP013059;La Visitation - Bassens;1321413215;1814
QP013060;Saint André;13216;1788
QP013061;Le Prépaou;13047;3048
QP013062;La Carraire;13063;1623
QP013063;La Maille;13063;5769
QP013064;La Soude Bengale;13209;1982
QP013065;Caillols La Moularde;13212;1758
QP014001;Chemin Vert;14118;4125
QP014002;Grâce De Dieu;1411814271;3908
QP014003;Guérinière;1411814341;4138
QP014004;Pierre Heuzé;14118;2159
QP014005;Calvaire Saint Pierre;14118;1532
QP014006;Centre Ville;14167;1330
QP014007;Grande Delle - Val - Belles Portes - Grand Parc - Haute Folie;14327;8624
QP014008;Canteloup - Marronniers - Honfleur;14333;1343
QP014009;Hauteville;14366;3522
QP015001;Aurillac Sud;15014;1218
QP016001;Basseau - Grande Garenne;16015;3539
QP016002;Ma Campagne;16015;1923
QP016003;Bel Air - La Grand Font;16015;2543
QP016004;L'Etang Des Moines;16113;1291
QP016005;Champ De Manoeuvre;16374;3286
QP016006;Crouin;16102;1898
QP017001;Mireuil;17300;6123
QP017002;Villeneuve-Les-Salines;17300;5642
QP017003;Bellevue - Boiffiers;17415;2087
QP017004;Centre Ville - Avant-Garde;17299;2362
QP017005;Le Petit Marseille;17299;1106
QP017006;Eco quartier l'Yeuse-La Robinière;17306;1207
QP017007;Port-Neuf;17300;1606
QP018001;Bourges Nord;18033;9503
QP018002;Val D'Auron - Bourges;18033;2465
QP018003;Le Vernet - Saint Amand Montrond;18197;1578
QP018004;Clos Du Roy - Centre Ville - Vierzon;18279;4581
QP019001;Rivet;19031;1144
QP019002;Tujac;19031;2912
QP019003;Les Chapélies;19031;1714
QP021001;Saint Jacques;21054;1665
QP021002;Le Mail;21166;4887
QP021003;Fontaine D'Ouche;21231;7466
QP021004;Les Grésilles;21231;4333
QP021005;Le Bief Du Moulin;21355;1192
QP021006;Le Belvédère;21617;2576
QP022001;Ar Santé - Les Fontaines;22113;993
QP022002;Ker Uhel;22113;932
QP022003;Iroise;22215;998
QP022004;Croix Saint-Lambert - Ville Oger;22278;1632
QP022005;Le Plateau - Europe - Balzac;22278;4128
QP022006;Point Du Jour;22278;1183
QP022007;La Fontaine Des Eaux;22050;1208
QP023001;L'Albatros;23096;1892
QP024001;Rive Gauche;24037;1775
QP024002;Quartier Des Deux Rives;24037;2655
QP024003;Quartier Nord;24037;1133
QP024004;Chamiers;24138;1192
QP024005;La Boucle De L'Isle;2413824322;1474
QP025001;Le Grand Longs Traits;25462;996
QP025002;Grette;25056;1137
QP025003;Orchamps - Palente;25056;2938
QP025004;Planoise;25056;15286
QP025005;Montrapon;25056;1919
QP025006;Clairs Soleils;25056;1600
QP025007;Les Champs Montants;25031;1840
QP025008;Champvallon;25057;2907
QP025009;Les Fougères;25284;1191
QP025010;Chiffogne;25388;2186
QP025011;Petite Hollande;25388;7413
QP025012;Les Evoironnes;25547;1630
QP025013;Les Buis;25580;2270
QP026001;Centre Ancien;26281;2314
QP026002;Quartiers Ouest;26198;2404
QP026003;Nocaze;26198;1531
QP026004;Centre Ancien;26198;2718
QP026005;Quartier Est;26281;3797
QP026006;Polygone;26362;2189
QP026007;Les Hauts De Valence;26362;8439
QP026008;Valensoles;26362;1534
QP026009;Chamberlière;26362;1195
QP026010;Le Roc;26235;3237
QP026011;Coeur De Loriol;26166;1628
QP026012;Clairval;26325;926
QP027001;Valmeux - Blanchères;27681;3587
QP027002;Boutardes;27681;988
QP027003;La Madeleine;27229;10501
QP027004;Nétreville;27229;2356
QP027005;Navarre;27229;1403
QP027006;Maison-Rouge;27375;1049
QP027007;Acacias - La Londe - Les Oiseaux;27375;1362
QP027008;Centre Ville;27701;7168
QP027009;Le Bourg Le Comte;27056;1359
QP027010;L'Europe;27467;1402
QP027011;La Passerelle;27467;1297
QP028001;Les Vauvettes;28404;1078
QP028002;Quartier Des Clos;28085;2553
QP028003;Vieux Puits;28218;1934
QP028004;Bruxelles - Arcades - Béguines;28218;2168
QP028005;Tallemont - Bretagne;28229;2310
QP028006;Les Bâtes Tabellionne;2813428404;4927
QP028007;Les Rochelles - Barthou;28134;1289
QP028008;Dunant - Kennedy;28134;6485
QP028009;Camus - Schweitzer;28088;2728
QP028010;Le Val;28280;1628
QP029001;Kerandon;29039;1229
QP029002;Kermoysan;29232;3792
QP029003;Kerourien;29019;1205
QP029004;Bellevue;29019;7357
QP029005;Keredern;29019;2040
QP029006;Lambezellec Bourg;29019;1168
QP029007;Pontanezen;29019;2408
QP029008;Queliverzan Pontaniou;29019;1930
QP029009;Kerangoff Loti;29019;1444
QP02A001;Pifano;2A247;1012
QP02A002;Salines;2A004;1808
QP02A003;Les Jardins De l'Empereur;2A004;1025
QP02B001;Quartier Sud;2B033;7310
QP02B002;Centre Ancien;2B033;3122
QP030001;Près Saint Jean - Cévennes - Tamaris - Cauvel-la Royale - Rochebelle - Centre ville;30007;14621
QP030002;Centre Ville;30010;1134
QP030003;Pissevin - Valdegour;30189;15597
QP030004;Gambetta-Richelieu;30189;6862
QP030005;Chemin-Bas D'Avignon - Clos D'Orville;30189;7264
QP030006;Mas De Mingue;30189;3014
QP030007;Route De Beaucaire;30189;1722
QP030008;Némausus-Jonquilles - Haute Magaille - Oliviers;30189;3374
QP030009;Sabatot - Centre Ancien;30258;3272
QP030010;Escanaux - Coronelle - Citadelle - Vigan Braquet;30028;4006
QP030011;Centre Ville;30202;1353
QP030012;La Moulinelle;30032;1941
QP030013;Centre Ville;30032;4374
QP030014;L'Ecusson;30227;1234
QP030015;Les Costières;30341;2734
QP030016;Centre Ville - Arboux;30132;2421
QP030017;Trescol - La Levade;30132;1012
QP030018;Quartier Prioritaire D'Uzès;30334;1261
QP031001;Saint Jean;31395;2938
QP031002;Centre Ouest;31395;1948
QP031003;Coeur De Ville;31483;1357
QP031004;Barradels;31069;1613
QP031005;Val D'Aran - Poitou - Pyrénées;31149;3011
QP031006;Pradettes;31555;1962
QP031007;Grand Mirail;31555;31691
QP031008;Arènes;31555;2127
QP031009;Bourbaki;31555;1169
QP031010;Empalot;31555;5502
QP031011;Les Izards - La Vache;31555;2747
QP031012;Cépière Beauregard;31555;1549
QP031013;Saint Exupéry;31555;1288
QP031014;Soupetard;31555;2021
QP031015;Rangueil;31555;3311
QP031016;En Jacca;31149;1168
QP031017;Vivier Maçon;31157;1059
QP031018;Négreneys;31555;1014
QP031019;La Gloire;31555;1162
QP032001;Grand Garros;32013;1939
QP033001;Quartier Champ De Course;3306933162;1111
QP033002;Yser - Pont De Madame;33281;1543
QP033003;Quartier Du centre;33138;1250
QP033004;Quartier Bourg;3332433402;2206
QP033005;Quartier De L'Avenir;33032;1148
QP033006;Carle Vernet -Terres Neuves;3303933063;1892
QP033007;Le Lac;33063;3634
QP033008;Saint-Michel;33063;11637
QP033009;Benauge - Henri Sellier - Léo Lagrange;3306333119;3208
QP033010;Grand-Parc;33063;4246
QP033011;Bacalan;33063;1543
QP033012;Palmer - Saraillère - 8 Mai 45 - Dravemont;3311933167;10228
QP033013;Grand Caillou;33162;1936
QP033014;Jean-Jaurès;33167;2640
QP033015;Barthez;33192;957
QP033016;Carriet;33249;3201
QP033017;Génicart Est;33249;3590
QP033018;Alpilles-Vincennes-Bois Fleuri;33249;3940
QP033019;Beaudésert;33281;1108
QP033020;Châtaigneraie - Arago;33318;2998
QP033021;Saige;33318;3120
QP033022;Thouars;33522;3143
QP033023;Paty Monmousseau;33039;1008
QP034001;Centre Ville;34032;19054
QP034002;Iranget Grangette;34032;2832
QP034003;Devèze;34032;4605
QP034004;Celleneuve;34172;1420
QP034005;Mosson;34172;21652
QP034006;Petit Bard Pergola;34172;5756
QP034007;Pas Du Loup - Val De Croze;34172;3245
QP034008;Cévennes;34172;5578
QP034009;Gély;34172;1324
QP034010;Figuerolles;34172;3419
QP034011;Lemasson;34172;1245
QP034012;Près D'Arènes;34172;4458
QP034013;Pompignane;34172;1198
QP034014;Aiguelongue;34172;1095
QP034015;Vert-Bois;34172;2012
QP034016;Les Deux Pins;34108;1231
QP034017;Ile De Thau;34301;3794
QP034018;Centre Ville - Ile Sud;34301;4340
QP034019;Centre Ville;34003;3177
QP034020;Centre Ville;34028;1955
QP034021;Centre Et Périphérie;34145;5726
QP034022;Centre Ville;34142;3021
QP035001;La Découverte;35288;3583
QP035002;Villejean;35238;8963
QP035003;Les Clôteaux - Champs Manceaux;35238;5061
QP035004;Maurepas;35238;6443
QP035005;Le Blosne;35238;11281
QP035006;Cleunay;35238;1275
QP035007;Bellevue;35236;1152
QP036001;Beaulieu;36044;1634
QP036002;Saint Jean - Saint Jacques;36044;4877
QP036003;Vaugirard - Saint Christophe;36044;1597
QP036004;Nation Bernardines;36088;1484
QP037001;La Verrerie;37003;1095
QP037002;Rabière;37122;6218
QP037003;Niqueux Bruère - Marcel Pagnol;37195;1932
QP037004;Rabaterie;37233;5286
QP037005;Fontaines;37261;3008
QP037006;Rochepinard;37261;1078
QP037007;Rives Du Cher;37261;2546
QP037008;Europe;37261;2696
QP037009;Sanitas;37261;8783
QP037010;Maryse Bastié;37261;2018
QP037011;Bords De Loire;37261;1773
QP037012;Patte D'Oie - Malétrenne - Plaisance;37003;1629
QP038001;La Luire - Viscose;38151;2785
QP038002;Champaret;38053;940
QP038003;Essarts - Surieux;38151;5635
QP038004;Village Sud;38151;1707
QP038005;Alpes Mail Cachin;38169;2036
QP038006;Mistral Lys Rouge Camine;38185;2893
QP038007;Villeneuve - Village Olympique;38185;12304
QP038008;Teisseire Abbaye Jouhaux Châtelet;38185;6629
QP038009;Alma - Très Cloîtres - Chenoise;38185;1507
QP038010;Iles De Mars Olympiades;38317;1834
QP038011;Renaudie - Champberton - La Plaine;38421;2473
QP038012;Brunetière;38563;1226
QP038013;Champfleuri;38053;2145
QP038014;Saint Hubert;38193;2937
QP038015;Saint Bonnet;38553;2357
QP038016;Les Roches;38553;2061
QP038017;La Plaine;38416;1168
QP038018;Vieux Péages - Les Ayencins;38298;1094
QP038019;Route De Sablons;3829838344;1417
QP038020;Belmont Moulin Villette;38097;1083
QP038021;Barbières;38087;1253
QP038022;Plan Des Aures;38318;1182
QP038023;Estressin;38544;2107
QP038024;Vallée De Gère;38544;2641
QP038025;Les Genêts Cancane Charlemagne;3831838544;1572
QP038026;Malissol;38544;1672
QP039001;Mesnils Pasteur;39198;2696
QP039002;Marjorie - Les Mouillères;39300;3580
QP039003;Les Avignonnets;39478;1322
QP039004;Chabot - Le Miroir;39478;975
QP040001;Le Sablar;40088;1283
QP040002;Cuyès;40088;1229
QP040003;Le Gond;40088;1233
QP040004;Le Peyrouat;40192;2405
QP040005;La Moustey;40281;1381
QP041001;Kennedy - Coty - Croix Chevallier - Sarrazines;41018;10703
QP041002;Les Rottes;41269;3202
QP041003;Les Favignolles;41194;1348
QP042001;Beauregard;42147;1257
QP042002;La Chapelle;42005;3168
QP042003;La Romière;42044;1259
QP042004;Montrambert Méline;4204442183;1108
QP042005;Le Dorlay - Les Pins - La Bachasse;4210342271;1450
QP042006;Montcel - Centre Ville;42183;2416
QP042007;Grand Pont;42186;1186
QP042008;Centre Ville;42186;2111
QP042009;Centre Ville;42207;2942
QP042010;St Julien - Crêt De L'Oeillet;42207;1156
QP042011;Cotonne Montferré;42218;3174
QP042012;Tarentaize Beaubrun;42218;7606
QP042013;Montreynaud;42218;7324
QP042014;Crêt De Roc - Soleil;42218;5174
QP042015;Quartiers Sud-Est;42218;2243
QP042016;Terrenoire;42218;1882
QP042017;Bourgogne;42187;1972
QP042018;Le Parc;42187;1538
QP042019;Mayollet;42187;872
QP043001;Val Vert;43157;1371
QP043002;Guitard;43157;1122
QP044001;Ville Ouest;44184;6735
QP044002;Petit Caporal;44184;1008
QP044003;Robespierre - Prézégat;44184;1109
QP044004;La Ville Aux Roses;44036;1309
QP044005;Bellevue;4410944162;16918
QP044006;Les Dervallières;44109;5075
QP044007;Le Breil;44109;3575
QP044008;Bout Des Landes - Bout Des Pavés - Chêne Des anglais;44109;5166
QP044009;La Boissière;44109;1927
QP044010;Port Boyer;44109;1733
QP044011;Le Clos Toreau;44109;1275
QP044012;Le Ranzay;44109;1164
QP044013;Malakoff;44109;3130
QP044014;Bottière Pin Sec;44109;5207
QP044015;La Halvêque;44109;1437
QP044016;La Petite Sensive;44109;1100
QP044017;Plaisance;44114;1689
QP044018;Château;44143;2967
QP044019;Le Sillon De Bretagne;44162;1539
QP045001;Les Chaises;45285;984
QP045002;Vésine;45068;1193
QP045003;Le Plateau;450684520845338;3913
QP045004;La Chaussée;45208;3009
QP045005;Le Bourg - Chautemps;4506845208;1969
QP045006;Le Clos De La Grande Salle;45147;1720
QP045007;Andrillons Ormes Du mail;45147;2010
QP045008;Lignerolles;45147;1166
QP045009;Dauphine;45234;1337
QP045010;La Source;45234;11261
QP045011;Argonne;45234;7972
QP045012;Blossières;45234;1514
QP045013;Pont Bordeaux;45284;1223
QP045014;Les 3 Fontaines;45285;2479
QP045015;Le Hameau;45315;1384
QP045016;Champ De La Ville;45155;1676
QP045017;Montoire;45155;1515
QP045018;Quartiers Nord;45252;1450
QP045019;Saint Aignan;45252;1157
QP046001;Terre Rouge;46042;1036
QP047001;Rodrigues - Barleté;47001;1963
QP047002;Montanou;47001;1860
QP047003;Pin;47001;1482
QP047004;Bastide Au Bord Du Lot;47252;1118
QP047005;Bastide;47323;2520
QP047006;Baylac Gravette;47157;1697
QP047007;Coeur De ville;47310;1084
QP049001;Belle Beille;49007;6236
QP049002;Roseraie;49007;8904
QP049003;Savary;49007;1375
QP049004;Grand Pigeon;49007;2642
QP049005;Monplaisir;49007;7402
QP049006;Hauts De Saint Aubin;49007;1450
QP049007;Beauval Bedier Morellerie;49007;2286
QP049008;Le Grand Bellevue;49353;2169
QP049009;Bretagne Bostangis;49099;1510
QP049010;Jean Monnet;49099;1970
QP049011;Favreau Les Mauges;49099;1973
QP049012;Colline Villeneuve;49099;2086
QP049013;Chemin Vert - Hauts Quartiers;49328;3486
QP050001;La Turfaudière;50025;1222
QP050002;Val Saint Jean;50502;1853
QP050003;La Dollée;50502;1601
QP050004;Claires Fontaines;50147;1467
QP050005;Les Provinces;50129;6672
QP050006;Maupas - Hautmarais - Brêche Du Bois;50129;1754
QP050007;Fourches - Charcot;50129;1429
QP051001;Quartier Prioritaire Ouest;51108;3622
QP051002;Quartier Prioritaire Sud;51108;3157
QP051003;Croix Rouge;51454;11833
QP051004;Wilson - Maison Blanche - Chatillons;51454;11836
QP051005;Orgeval;51454;4789
QP051006;Europe;51454;2515
QP051007;Chalet - Solférino - Paul Petit;51454;1191
QP051008;Walbaum;51454;1237
QP051009;Epinettes - Maladrerie - Chemin Des Bouchers;51454;1651
QP051010;Le Hamois;51649;1917
QP051011;Rome Saint Charles;51649;1455
QP051012;Bernon;51230;3183
QP052001;Rochotte;52121;1799
QP052002;Cavalier;52121;1289
QP052003;Quartier Neuf;52269;1147
QP052004;Vert-Bois;52448;7470
QP053001;Les Fourches;53130;1196
QP053002;Kellermann;53130;2214
QP053003;Pavement - Charité - Mortier - Murat;53130;3274
QP054001;Mouzimpré;54184;979
QP054002;Gouraincourt - Remparts;54323;1412
QP054003;Concorde;54261;1458
QP054004;Quartier Voltaire;54323;1420
QP054005;Val Saint Martin;54382;2768
QP054006;Quartier Les Mouettes;54115;1073
QP054007;Quartier La Penotte;54215;1161
QP054008;Bois Le Prêtre - Procheville;54431;1508
QP054009;Centre Ancien;54329;2275
QP054010;Niederbronn - Zola;54329;1038
QP054011;Quartier La Croix De Metz;54528;1876
QP054012;La Californie;54274;1810
QP054013;Les Provinces;54304;2669
QP054014;Plateau De Haye - Champ Le Boeuf;5430454357;3602
QP054015;Plateau De Haye Nancy - Maxéville;5435754395;5648
QP054016;Haussonville - Les Nations;5439554547;15045
QP054017;Saint Michel Jéricho - Grands moulins;543395439554482;2579
QP054018;Coeur De Ville;54526;1799
QP055001;Côte Sainte-Catherine;55029;2326
QP055002;Planchettes;55545;1609
QP055003;Centre Verdun - Cité verte;55545;2199
QP056001;Gumenen Goaner - Parco Pointer;56007;1490
QP056002;Les 3 K : Kennedy - Kergohic - Kerihouais;56083;1147
QP056003;Centre Ville Kerfrehour;56098;1907
QP056004;Kervenanec Nord;56121;1767
QP056005;Polygone Frebault;56121;1654
QP056006;Bois Du Château;56121;2167
QP056007;Kerguillette Petit Paradis;56121;1214
QP056008;Kercado;56260;3439
QP056009;Ménimur;56260;2850
QP057001;Quartier Saravis;57630;1617
QP057002;La Cité;57058;5870
QP057003;Wiesberg Hommel;57227;3211
QP057004;Bellevue;57227;1420
QP057005;Quartier Rémelange;57206;3595
QP057006;Quartier Ouest;57683;1816
QP057007;Côte Des Roses;57672;2203
QP057008;Quartier Saint Pierre - La Millaire;57672;1371
QP057009;Quartier Terrasses Des Provinces;57757;1983
QP057010;Beausoleil;57631;1129
QP057011;Vieille Ville Et Ville Haute;57631;2482
QP057012;La Chapelle;5724057332;2675
QP057013;Quartier République;57269;1224
QP057014;Cité Du Furst;5722457690;1474
QP057015;Carrière Wehneck;57606;3457
QP057016;Quartier Maroc;57160;1078
QP057017;Quartier Breckelberg Fatima;57160;1546
QP057018;Bellecroix;57463;3019
QP057019;Hauts De Vallières;57463;1258
QP057020;Borny;57463;11013
QP057021;Sablon Sud;57463;1408
QP057022;La Patrotte - Metz-Nord;57463;3337
QP057023;Quartier Saint-Eloy - Boileau-Pré Génie;5746357751;8782
QP057024;Les Chênes;57332;830
QP058001;Grande Pâture - Les Montôts;58194;2531
QP058002;Le Banlay;58194;2102
QP058003;Les Bords De Loire;58194;1907
QP058004;La Baratte - Les Courlis;58194;1601
QP058005;Saint Laurent;58086;1492
QP059001;Quartier Prioritaire De Hornaing;59314;1065
QP059002;Auby Centre;59028;1331
QP059003;Asturies - Belleforières;5902859509;1120
QP059004;Résidence Gayant;59178;1857
QP059005;Flers En Escrebieux Pont De La Deûle - Dorignies;5917859234;3168
QP059006;Frais Marais;5917859654;2111
QP059007;Notre Dame - La Clochette - Le Bivouac;591785956959654;2980
QP059008;Faubourg De Béthune;5916559178;1794
QP059009;Les Epis;59569;1837
QP059010;Haut Terroir - Le Vivier;59654;1083
QP059011;Les Explorateurs -  Place Du 8 Mai 1945 - Jean Jaurés - La Flamenne;59225;1192
QP059012;Quartier Du Village;59230;1194
QP059013;Bois Du Quesnoy;59291;1470
QP059014;Centre Lambreçon;59324;2911
QP059015;Long Prés - Prés Du Paradis;59365;1349
QP059016;Pont De Pierre;59392;2064
QP059017;Provinces Françaises;59392;1507
QP059018;L'Epinette;59392;1141
QP059019;Quartier Intercommunal Sous-Le Bois Montplaisir Rue D'Hautmont;59291593655939259424;9396
QP059020;Verrerie - Square République;59014;1248
QP059021;Zone Intercommunale Rives De L'Escaut;5901459079591125949159606;10732
QP059022;Cité Thiers - Cité Du Rivage;5911259207;2319
QP059023;Centre Ville;59153;2257
QP059024;Lecocq;59153;1066
QP059025;Centre Ville;59253;1935
QP059026;Le Trieu;59253;1104
QP059027;Quatre Chasses Poudrière Faiencerie;5944759613;2679
QP059028;Centre Ville;59484;1822
QP059029;La Pépinière;59544;864
QP059030;Dutemple Chasse Royale Saint Waast - La Sentinelle;5956459606;3189
QP059031;Zone Intercommunale Faubourg De Cambrai - La Briquette;5938359606;2488
QP059032;Cité Le Jard;59616;1282
QP059033;La Solitude Hermitage;59616;983
QP059034;Quartier Prioritaire d'Aniche;5900859024;3654
QP059035;Quartier Prioritaire D'Auberchicourt Et Ecaillon;590245918559390;1227
QP059036;Quartier Prioritaire De Masny;59390;1387
QP059037;Quartier Prioritaire De Montigny En Ostrevent;59414;1040
QP059038;Barrois;5941459456;1385
QP059039;Lemay Sainte Marie;59456;1020
QP059040;Quartier Prioritaire De Somain;59574;1633
QP059041;Résidences Pasteur Et Foch;59295;1379
QP059042;Centre Ville - Gambetta;59139;2287
QP059043;Coeur D'Etoile;59481;1683
QP059044;Fourmies;59249;4566
QP059045;Cité Des Bois;59452;1626
QP059046;Vieux Centre Ville Saint Géry;59122;1539
QP059047;Quartier Saint Roch;59122;1257
QP059048;Quartier Amérique;59122;1286
QP059049;Résidence D'Esnes;59122;929
QP059050;Centre;591725917959361;13195
QP059051;Boulevard De La Liberté;59179;3451
QP059052;Schneider;592055936159504;2448
QP059053;Couture Savonnerie;59205;1232
QP059054;Gambetta;591725920559361;1172
QP059055;Sabatier;59491;2781
QP059056;Brunehaut;591125920759491;1292
QP059057;Collinière;59526;1477
QP059058;Elnon;59526;1126
QP059059;Arenberg;590645949159632;1721
QP059060;Petit Steendam;59155;1274
QP059061;Saint Pol Sur Mer Quartiers Ouest;59183;4008
QP059062;Banc Vert - Ile Jeanty - Carré De La Vieille - Jeu De mail;59183;5912
QP059063;Soubise - Basse Ville;59183;4860
QP059064;Albeck - Europe - Moulin;59271;8659
QP059065;Degroote;59588;1141
QP059066;Pont de Bois;59009;5218
QP059067;Résidence-Poste-Terroir;59009;2983
QP059068;Résidence;59009;2483
QP059069;Attargette - Chanzy;59017;1786
QP059070;Bizet - Briquetterie;59017;1244
QP059071;Quartier Intercommunal Hautchamps Longchamp - Lionderie - 3 Baudets;592995936759512;8042
QP059072;Pacot - Vandracq;59328;1166
QP059073;Secteur Ouest;59350;1778
QP059074;Secteur Sud;59220593465935059360;47687
QP059075;Secteur Nord Est;59350;12711
QP059076;Secteur Nord;59350;1443
